run,r,rcr,default,rcmf,eta0,beta,w,etal,alpha_n,Xs_0,Fe0,t_acc_m,t_end_m,dr,dt,icfrac,status
,m,,,,Pas,K^-1,K,Pas,,wt %,60Fe/56Fe,Myr,Myr,m,t_cond_core,,
7.0,100000.0,0.5,vary,0.3,100000000000000.0,0.0225,5,10,30,30.05,1e-08,0.8,1500,500,0.075,1,
8.0,100000.0,0.5,vary,0.3,1000000000000000.0,0.0225,5,10,30,30.05,1e-08,0.8,1500,500,0.075,1,
9.0,100000.0,0.5,vary,0.3,1e+16,0.0225,5,10,30,30.05,1e-08,0.8,1500,500,0.075,1,
10.0,100000.0,0.5,vary,0.3,1e+17,0.0225,5,10,30,30.05,1e-08,0.8,1500,500,0.075,1,
11.0,100000.0,0.5,vary,0.3,1e+18,0.0225,5,10,30,30.05,1e-08,0.8,1500,500,0.075,1,
12.0,100000.0,0.5,vary,0.3,1e+19,0.0225,5,10,30,30.05,1e-08,0.8,1500,500,0.075,1,
13.0,100000.0,0.5,vary,0.3,1e+20,0.0225,5,10,30,30.05,1e-08,0.8,1500,500,0.075,1,
14.0,100000.0,0.5,vary,0.3,1e+21,0.0225,5,10,30,30.05,1e-08,0.8,1500,500,0.075,1,
15.0,100000.0,0.5,vary,0.3,1e+22,0.0225,5,10,30,30.05,1e-08,0.8,1500,500,0.075,1,
16.0,100000.0,0.5,vary,0.3,1.0000000000000001e+23,0.0225,5,10,30,30.05,1e-08,0.8,1500,500,0.075,1,
17.0,100000.0,0.5,vary,0.3,1e+24,0.0225,5,10,30,30.05,1e-08,0.8,1500,500,0.075,1,
