run,r,dr,t_acc,t_end_max,step_size,t_end_actual,cond_t,int_time,save_interval_d,save_interval_t,default,rcmf,Xs_0,Fe0
,m,m,Myr,Myr,Myr,Myr,s,s,Myr,Myr,,,Wt %,
1,100000,500,0.8,200,0.000120058043751,59.3299771414555,215547225561202,41.0677111679997,0.01,0.1,Dodds,0.3,30,1E-07
6,400000,500,0.8,100,9.62603058148927E-05,99.9843762454226,625136007426275,138.253494139,0.01,0.1,Bryson3,0.3,30,4E-07
7,400000,500,0.8,100,9.62603058148927E-05,99.980754932718,653302060887249,139.390151962001,0.01,0.1,Bryson3,0.3,30,6E-07
8,400000,500,0.8,100,9.62603058148927E-05,99.9755097086545,688453574159164,141.100466593,0.01,0.1,Bryson3,0.3,30,9E-07
5,400000,500,0.8,100,9.62603058148927E-05,99.9901932557026,574274745618113,135.113725637,0.01,0.1,Bryson3,0.3,30,1E-07
2,400000,500,0.8,900,9.62603058148927E-05,744.226042593891,683646325415280,1027.62364931,0.01,0.1,Dodds,0.2,30,1E-07
9,400000,500,0.8,50,9.62603058148927E-05,49.9270246345219,1226052877026451,73.8036490049999,0.01,0.1,Dodds,0.2,30,1E-07
10,100000,500,0.8,50,9.62603058148927E-05,49.9270246345219,292491782633193,41.3692830720102,0.01,0.1,Dodds,0.2,30,1E-07
11,100000,500,0.8,50,9.62603058148927E-05,49.9270246345219,294131041735455,41.9815674270067,0.01,0.1,Dodds,0.2,30,1E-07
12,400000,500,0.8,100,9.62603058148927E-05,99.986041548713,2843112161096670,155.070707545998,0.01,0.1,Dodds,0.2,30,1E-07
13,400000,500,0.8,100,9.62603058148927E-05,99.986041548713,2843118232426680,146.894793442,0.01,0.1,Dodds,0.2,30,1E-07
14,400000,500,0.8,100,9.62603058148927E-05,99.986041548713,2843118232426680,149.445163099999,0.01,0.1,Dodds,0.2,30,1E-07
15,400000,500,0.8,100,9.62603058148927E-05,99.986041548713,nan,124.527489132001,0.01,0.1,Dodds,0.2,30,1E-07
15,400000,500,0.8,10,9.62603058148927E-05,9.95974566013405,nan,16.9373171839979,0.01,0.1,Dodds,0.2,30,1E-07
15,400000,500,0.8,100,9.62603058148927E-05,99.986041548713,2.84311823242668E+015,147.115393981,0.01,0.1,Dodds,0.2,30,1E-07
16,400000,500,0.8,100,9.62603058148927E-05,99.9372491249044,342911506967543,150.511470686,0.01,0.1,Dodds,0.2,30,1E-07
16,400000,500,0.8,20,9.62603058148927E-05,19.9027729798958,336770356664071,34.325378734,0.01,0.1,Dodds,0.2,30,1E-07
17,400000,500,0.8,20,9.62603058148927E-05,19.9027729798958,290549321310312,29.470770676,0.01,0.1,Dodds,0.2,30,1E-07
17,400000.0,500,0.8,50,9.62603058148927e-05,49.978150408147485,290549321310312.4,73.62640287899922,0.01,0.1,Dodds,0.2,30,1e-07
17,400000.0,500,0.8,50,9.62603058148927e-05,49.978150408147485,290995564065927.94,73.8475699720002,0.01,0.1,Dodds,0.2,30,1e-07
17,400000.0,500,0.8,50,9.62603058148927e-05,49.978150408147485,290995564065927.94,73.19978444699882,0.01,0.1,Dodds,0.2,30,1e-07
17,400000.0,500,0.8,400,9.62603058148927e-05,399.9915960071487,290995564065927.94,577.1840274179995,0.01,0.1,Dodds,0.2,30,1e-07
17,400000.0,500,0.8,400,9.62603058148927e-05,399.9915960071487,290995564065927.94,572.8188133209987,0.01,0.1,Dodds,0.2,30,1e-07
