run,r,default,rcmf,Xs_0,Fe0,t_acc_m,t_end_m,dr,dt,status
,m,,,Wt %,,Myr,Myr,m,t_cond_core,
1.0,400000,Dodds,0.2,30,1e-07,0.8,1000,500,0.1,1.0
2.0,400000,Dodds,0.2,30,1e-07,0.8,1000,400,0.1,1.0
3.0,400000,Dodds,0.2,30,1e-07,0.8,1000,250,0.1,1.0
4.0,400000,Dodds,0.2,30,1e-07,0.8,1000,160,0.1,1.0
5.0,400000,Dodds,0.2,30,1e-07,0.8,1000,500,0.05,1.0
6.0,400000,Dodds,0.2,30,1e-07,0.8,1000,500,0.025,1.0
7.0,400000,Dodds,0.2,30,1e-07,0.8,1000,500,0.01,1.0
9.0,400000,Dodds,0.2,30,1e-07,0.8,1000,500,0.0075,1.0
10.0,400000,Dodds,0.2,30,1e-07,0.8,1000,500,0.005,1.0
11.0,300000,Dodds,0.2,30,1e-07,0.8,1000,500,0.1,1.0
12.0,200000,Dodds,0.2,30,1e-07,0.8,1000,500,0.1,1.0
13.0,100000,Dodds,0.2,30,1e-07,0.8,1000,500,0.1,1.0
14.0,400000,Dodds,0.2,28,1e-07,0.8,1000,500,0.1,1.0
15.0,400000,Dodds,0.2,32,1e-07,0.8,1000,500,0.1,1.0
16.0,100000,Dodds,0.2,32,1e-07,0.8,1000,500,0.1,1.0
17.0,100000,Dodds,0.2,28.5,1e-07,0.8,1000,500,0.1,1.0
18.0,400000,Dodds,0.2,30,1e-07,0.8,1000,500,0.08,1.0
19.0,400000,Dodds,0.2,30,1e-07,0.8,1000,500,0.06,1.0
